Полное ФИО;Серия Номер;Пункт Отправления;Пункт Назначения;Время Отправления;Время Прибытия;Номер Поезда;Вагон-Место;Цена;Карта
Королев Серафим Филиппович;5326_252082;Хельсинки;Коувола;2014-01-13T11:30;2014-01-13T12:31;724.0;2_3;533.0;5486604761648264_
Соколовский Виталий Ильич;5099_827524;Тюмень;Москва;2056-08-09T01:40;2056-08-09T21:40;64.0;25_7;1124.0;5100470811842238_
Гуляева Лидия Игоревна;0564_368035;Красноярск;Екатеринбург;2078-06-23T08:22;2078-06-24T14:06;211.0;1_35;946.0;2200882617482830_
Михайлов Кузьма Богданович;5946_870079;Воронеж;Староминская;2034-03-16T06:38;2034-03-16T18:16;541.0;30_5;883.0;4000011726116862_
Морозов Валентин Лукич;2300_603967;Пятигорск;Кисловодск;2022-12-19T08:20;2022-12-19T16:30;445.0;17_19;588.0;2202720481225288_
Богданов Николай Аполлонович;1731_291915;Сочи;Ростов-на-Дону;2061-08-17T10:51;2061-08-17T22:27;630.0;2_12;548.0;4817552253740221_
Макарова Фёкла Андреевна;3896_448856;Москва;Санкт-Петербург;2035-04-06T09:35;2035-04-06T19:35;438.0;5_1;2804.0;4817366042464575_
Иванов Илья Максимович;9712_964524;Димитровград;Ульяновск;2013-03-15T04:35;2013-03-15T07:16;33.0;1_11;504.0;4300444562382455_
Янчук Ульяна Руслановна;0734_453166;Краснодар;Рязань;2014-03-11T02:25;2014-03-11T15:25;234.0;19_3;890.0;5200037675527803_
Назарова Юнона Руслановна;6293_038450;Тюмень;Тобольск;2026-11-26T14:24;2026-11-27T00:36;623.0;32_5;818.0;5469164137504165_
Емельянова Валерия Елисеевна;6136_245220;Нижний Новгород;Москва;2028-05-10T04:52;2028-05-10T16:05;403.0;27_6;836.0;2200326004736237_
;;;Краснодар;2022-07-06T19:30;2022-07-07T12:30;261.0;6_6;551.0;2202232128211467_
;;;Анапа;2027-01-16T01:50;2027-01-16T22:58;559.0;5_13;563.0;4276266653104468_
;;;Симферополь;2024-08-12T07:12;2024-08-12T17:29;505.0;29_7;839.0;2200583847354011_
;;;Воронеж;;;;20_17;913.0;5486106337105555_
;;;Воронеж;;;;3_43;534.0;5200770283156517_
;;;Иркутск;;;;1_24;933.0;5500820721800862_
;;Сафоново;Вязьма;2015-10-06T12:06;2015-10-06T13:27;722.0;1_5;544.0;5486301001254648_
Лазарев Макар Елистратович;7348_207553;Новороссийск;Уфа;2035-07-27T00:20;2035-07-28T18:48;246.0;5_6;627.0;4000402370843046_
Суханов Всеволод Геннадьевич;6499_834510;;;;2079-07-17T01:30;304.0;6_24;707.0;4300443350003671_
;;;;;2034-02-12T21:45;380.0;2_15;517.0;4000280777042537_
;;;;;2056-07-04T03:55;478.0;1_10;1020.0;4000003838537078_
Сафронова Кира Ефимовна;0417_479269;Ивдель;;;2017-06-03T18:40;613.0;;;
Бурова Ульяна Глебовна;6309_390094;Самара;Сочи;2080-12-14T10:10;2080-12-15T23:10;521.0;;;
Васильева Елена Петровна;9827_950763;Смоленск;Москва;2022-02-19T15:55;2022-02-19T23:15;764.0;;;
Баранова Эвелина Тимуровна;7810_828264;Струги Красные;Псков;2015-07-12T18:52;2015-07-12T20:33;603.0;;;
Котова Юлия Наумовна;9596_433290;Киров;;;2015-01-05T08:00;197.0;;;
Смирнова Жанна Георгиевна;3252_877471;Новосибирск;;;2057-06-14T17:57;256.0;;;2204540503037087_
Карпова Яна Платоновна;;;Новосибирск;2061-04-21T18:41;2061-04-22T07:05;27.0;1_14;522.0;5400486561536628_
Родионов Емельян Матвеевич;;;Саратов;2024-07-25T14:10;2024-07-26T08:52;667.0;23_6;1038.0;2200084734750545_
Лебедева Лариса Кузьминична;;;Краснодар;2019-03-13T22:30;2019-03-14T22:36;699.0;9_34;760.0;5500805878513324_
Журавлев Роберт Анатольевич;;;Кострома;2015-11-02T21:05;2015-11-03T02:27;402.0;7_23;522.0;5486231677714628_
Никитина Таисия Андреевна;;;Ростов-на-Дону;2018-05-07T03:47;2018-05-07T10:49;696.0;24_3;702.0;5400771720311327_
Борисов Василий Эльдарович;;;Великий Новгород;2014-02-04T16:01;2014-02-04T17:02;737.0;7_33;527.0;4300220627741352_
Коновалов Савелий Оскарович;;;Владимир;2015-04-25T19:36;2015-04-25T20:57;;;;2202121880047688_
Мельникова Вероника Дмитриевна;9980_575826;Волгоград;Москва;2052-09-06T01:35;2052-09-07T02:05;;;;4300817740421488_
Мишин Георгий Станиславович;3991_996603;Ростов-на-Дону;Москва;2025-01-22T09:03;;;;;4276367513617817_
Медведева Капитолина Денисовна;9174_552256;Волгоград;Саратов;2032-02-17T20:00;;;;788.0;4276552548574176_
Волкова Юнона Степановна;0591_004435;Ростов-на-Дону;Керчь;2022-01-25T10:43;;;;519.0;4300816242083113_
Самойлова Ксения Руслановна;2799_653015;Тихвин;Санкт-Петербург;2022-09-09T18:15;2022-09-09T22:15;684.0;24_8;620.0;4276167468278602_
Орлова Надежда Лаврентьевна;1706_492514;Воронеж;Москва;2031-09-16T05:15;2031-09-16T11:00;156.0;17_1;672.0;2200388254355163_
Шилов Роман Игнатьевич;4358_684240;Москва;;;;378.0;8_9;563.0;5200113644651088_
Гаврилова Екатерина Максимовна;8663_689891;Ростов-на-Дону;;;;600.0;2_10;505.0;2202024764072243_
Колесникова Регина Захаровна;4750_188590;Арзамас;;;;25.0;22_8;598.0;2200656660358026_
Жуков Марк Емельянович;3431_006462;Самара;Волгоград;2044-11-22T04:57;2044-11-22T19:06;441.0;16_2;924.0;2202455081347275_
Трофимов Виктор Аркадьевич;4159_988897;;;;2035-07-10T18:00;485.0;1_49;841.0;5486076057882133_
Королев Виталий Иванович;7646_709331;;;;2014-11-12T09:30;94.0;3_1;2746.0;5500643020585531_
Ефремова Моника Марковна;1310_166417;;;;2061-04-03T18:45;506.0;32_7;896.0;5486375705283580_
Волкова Анастасия Павловна;1859_992787;Псков;Луга;;;728.0;4_7;554.0;5400674604854134_
Морозов Авраам Еремеевич;4752_912470;Ростов-на-Дону;Краснодар;;;323.0;3_3;533.0;2207634055333710_
Ефремов Ростислав Эльдарович;;;;;;616.0;4_8;516.0;2200556786784780_
Никитина Ангелина Игоревна;;;;;;156.0;17_5;996.0;5486552555526070_
Назарова Алевтина Денисовна;;;;2018-07-19T22:15;2018-07-20T07:03;98.0;1_41;632.0;5469618172117541_
Полякова Пелагея Александровна;1233_665899;Москва;Агрыз;2022-08-17T21:45;2022-08-18T17:45;415.0;17_1;1100.0;5400184766837354_
Игнатов Давид Богданович;8215_368372;Вышний Волочёк;Тверь;2019-08-27T23:30;;;30_13;680.0;4276265550703244_
Мишина Варвара Ильинична;5111_473654;Краснодар;Ростов-на-Дону;2024-06-24T00:21;;;19_2;874.0;2202211637314876_
Климов Анатолий Семёнович;9916_962861;Москва;Ярославль;2029-10-10T06:23;2029-10-10T16:40;558.0;17_5;808.0;2202785463847232_
Савельев Анатолий Маркович;6550_647857;;;;2023-12-12T10:04;497.0;;;5334146075870138_
Макарова Наталья Артемовна;4217_752009;;;;2013-10-08T14:01;767.0;;;2207846517615137_
Давыдов Лаврентий Артурович;3052_728514;;;;2014-03-18T05:24;;;;2202015336383353_
Захарова Фаина Георгиевна;0283_771117;Липецк;Мичуринск;2023-09-14T20:00;2023-09-15T02:30;;;;5469315518733584_
Захарова Регина Игнатьевна;8261_593485;Староминская;Ейск;2018-03-04T12:54;2018-03-04T18:30;;;;4276211672316057_
Дмитриев Владислав Казимирович;7338_913604;Уфа;Екатеринбург;2062-10-01T05:39;2062-10-01T16:30;546.0;4_1;2999.0;4817204177018807_
Васильева Ника Игнатьевна;1192_221647;Самара;Нижневартовск;2058-05-28T00:40;2058-05-29T05:40;108.0;3_17;;
Некрасова Арина Арсеньевна;3723_732963;Воронеж;Ростов-на-Дону;2014-04-09T01:07;2014-04-09T05:43;213.0;10_49;;
Шилов Захар Елистратович;4540_685514;Ростов-на-Дону;Москва;2039-10-26T12:00;2039-10-27T03:00;268.0;2_51;;
Харитонова Ева Константиновна;5319_424232;Сызрань;Самара;2019-11-22T11:58;2019-11-22T15:59;147.0;5_23;;
Абрамова Алевтина Владленовна;6566_755398;Рязань;;;2028-02-25T01:59;307.0;21_3;1489.0;4100886627554772_
Коновалова Ядвига Прокофьевна;6040_879158;Волгоград;;;2019-06-16T04:11;71.0;25_18;805.0;2204133474323767_
Якушева София Тиграновна;8113_999263;Казань;;;2017-08-30T18:48;744.0;2_5;674.0;5400325302020815_
Климов Максим Вячеславович;9772_751024;Владимир;;;2014-09-05T08:30;755.0;1_2;1000.0;5400650812011051_
Климов Марк Лукич;9394_369274;Самара;Ижевск;2038-06-17T08:35;2038-06-18T02:15;486.0;1_9;531.0;5486217124846406_
;;;Сызрань;2020-05-31T07:57;2020-05-31T11:58;147.0;6_29;512.0;2204448756410184_
;;;Санкт-Петербург;2016-06-22T22:21;2016-06-23T01:03;777.0;11_9;2597.0;4567476200045827_
;;;Орёл;2014-03-21T11:31;2014-03-21T13:02;761.0;1_2;591.0;5200884451887062_
Герасимов Пантелей Маркович;5407_353353;Москва;Без остановок;2015-05-29T11:10;2015-05-29T12:41;;;540.0;5200673115033516_
Осипов Мирон Пантелеевич;;;;2040-06-06T13:00;2040-06-07T04:51;;;956.0;2204315878582163_
Королев Елисей Савельевич;;;;;2041-07-03T05:06;;;;2207034787483666_
Некрасова Антонина Данииловна;;;;;2032-08-20T11:45;;;;4000838858651823_
Зайцев Ярослав Фёдорович;7149_138986;Москва;;;2035-04-19T23:40;;;;4300755131006434_
Мельникова Евгения Кузьминична;9117_688767;Санкт-Петербург;;;;119.0;10_61;541.0;5500436621707820_
Маслов Эльдар Денисович;5399_123287;Арзамас;Нижний Новгород;;;;;812.0;5469886083382476_
Комарова Жанна Павловна;3798_446529;Москва;Санкт-Петербург;;;;;780.0;5334683026506455_
Коновалова Кира Эрнестовна;3995_492677;;;;;;;887.0;4276114663888801_
Куликов Руслан Власович;5904_444489;;;;;;;635.0;5100304730100640_
Савельев Анатолий Евграфович;2934_437363;;;;;;;612.0;2202480563448218_
Жданова Фаина Елистратовна;3739_903874;;;2019-02-09T22:00;2019-02-10T07:08;;;532.0;4100376652286061_
Журавлев Влас Игоревич;1538_239372;Сочи;Краснодар;2030-08-04T13:51;2030-08-04T23:03;;;764.0;4000176105783288_
Колесникова Кира Станиславовна;8259_801557;Кемерово;Новокузнецк;2033-07-16T01:55;2033-07-16T12:36;;;;5486083138781533_
Давыдов Савелий Евгеньевич;5794_122437;Джанкой;Керчь;2016-09-25T19:17;2016-09-25T23:49;266.0;;;4000485438355526_
Кравцов Виталий Тимофеевич;9429_466765;Ростов-на-Дону;Адлер;2036-02-06T05:10;2036-02-06T22:30;453.0;19_8;1020.0;2200655172685615_
Харитонова Арина Кристоферовна;8837_208166;Самара;Иркутск;;;;25_12;2212.0;2200717586616217_
Медведева Роза Евгеньевна;3768_794479;;;;;;8_32;543.0;5400133127775281_
Некрасова Кира Юрьевна;0453_524539;;;;;;21_9;875.0;2207718656056034_
Тихомирова Наталья Кристоферовна;6066_842829;;;;;617.0;16_17;617.0;4276728485742435_
Алексеев Евгений Максимович;4795_859587;;;2025-09-10T07:00;2025-09-11T08:15;659.0;30_3;1257.0;2204306565371642_
;;Новороссийск;Крымская;2015-12-21T03:00;2015-12-21T11:37;216.0;5_18;525.0;5500413008884383_
;;Армавир;Ростов-на-Дону;2029-10-08T17:25;2029-10-08T22:15;100.0;4_1;1613.0;4300271377618610_
;;Воронеж;Краснодар;2016-08-10T09:45;2016-08-10T19:45;283.0;1_9;518.0;4300270516130216_
;;Староминская;;;2024-04-27T20:19;542.0;2_9;770.0;4567278685482575_
Захаров Илья Константинович;2624_483646;Москва;;;2023-12-20T13:37;151.0;17_18;961.0;2202413831350412_
Трофимов Константин Германович;3216_693950;Мин. Воды;;;;;23_3;1061.0;2207402406245110_
Андреев Егор Тимофеевич;0748_429466;Волгоград;;;;;28_10;644.0;2202350402572047_
Журавлев Еремей Степанович;6689_916421;Краснодар;Крымская;2013-05-27T10:03;2013-05-27T13:06;647.0;11_30;532.0;4100756157786053_
Воробьёва Инна Оскаровна;2381_098354;Казань;Санкт-Петербург;2026-02-19T08:50;2026-02-20T10:05;146.0;;;2204266462630026_
Пономарёва Клавдия Робертовна;8027_713532;Дзержинск;Нижний Новгород;2013-03-12T18:38;2013-03-12T20:09;;;;4000844015744566_
;;;Анапа;;;;;;5400117235365410_
;;;Екатеринбург;;;;;;2200520360831024_
;;;Воркута;;;;1_53;584.0;4276037735755682_
Лобанова Ева Платоновна;3547_383142;Самара;Новосибирск;;;;31_14;1940.0;2207417434773134_
Мельникова Дария Ильинична;6298_210074;Череповец;Тихвин;2019-07-07T14:15;2019-07-07T18:15;684.0;35_4;624.0;5486322817060222_
Краснов Марк Робертович;9268_119827;Канаш;Казань;2017-10-19T12:33;2017-10-19T14:04;715.0;3_36;540.0;5334577723488480_
Алексеев Еремей Дмитриевич;5946_418973;Калуга;Сухиничи;2018-07-23T21:12;2018-07-23T23:14;187.0;5_9;508.0;2204560223126135_
Лебедев Наум Дамирович;5595_338609;Краснодар;Самара;2026-08-15T19:16;2026-08-16T22:19;382.0;30_8;1392.0;4567573684856585_
Трофимов Роберт Робертович;3602_339743;Кандалакша;Мурманск;2018-02-06T08:15;2018-02-06T17:15;;;2573.0;4276583424520012_
Леонова Аглая Наумовна;5398_958131;Красноярск;Иркутск;2045-01-05T19:03;2045-01-06T07:56;;;901.0;5500255346617472_
Козлов Тигран Пантелеевич;5965_318348;Москва;;;;;2_9;1064.0;4567640160425718_
Яковлев Прохор Кристоферович;1011_543207;Туапсе;;;;;29_5;1035.0;5400328604874387_
Соболева Инна Макаровна;3454_239588;Ростов-на-Дону;Краснодар;2059-04-14T23:21;;;26_12;793.0;5500735118340625_
Афанасьев Ефим Ефимович;9805_063802;Ярославль;Печора;2029-09-22T06:49;;;27_11;1175.0;2202102422154261_
Тарасова Дария Климентовна;0873_444193;Красноярск;Москва;2060-07-13T22:46;2060-07-16T11:18;378.0;26_13;2316.0;2207630313800824_
Афанасьева Мария Еремеевна;6898_759791;Обозерская;Санкт-Петербург;2016-04-24T02:15;2016-04-24T22:30;356.0;4_1;5165.0;4300737530780878_
Тарасов Герман Игоревич;5507_349067;Волгоград;Казань;;;552.0;34_5;1113.0;2200245058271277_
Кудрявцева Радмила Артуровна;4386_558753;Ростов-на-Дону;Москва;;;244.0;16_14;980.0;4000870820023610_
Герасимов Дамир Пантелеевич;2695_275242;Омск;Екатеринбург;;;533.0;2_9;524.0;5200876446433542_
Емельянов Ярослав Елисеевич;6174_974652;Зеленый Дол;Владимир;;;24.0;1_23;608.0;4100433466607326_
Ершова Октябрина Викторовна;8352_352240;Рязань;Саранск;2025-09-09T00:41;2025-09-09T10:03;601.0;28_4;809.0;2200230887660176_
Быкова Инна Игнатьевна;;;;;;;21_36;657.0;5486842325083225_
Белов Ярослав Дамирович;;;;;;;;593.0;5334645674678231_
Астафьев Клим Прокофьевич;;;;;2030-04-29T14:20;;;;2200583333233812_
Лобанова Эмилия Владимировна;4480_515409;Санкт-Петербург;Мурманск;2064-02-20T16:59;2064-02-21T15:21;;;;
Щербакова Анна Марковна;1923_123177;Ростов-на-Дону;Москва;2026-11-09T20:21;2026-11-10T10:45;;;;
Куликов Вадим Захарович;2866_740377;Ростов-на-Дону;Керчь;2042-04-27T03:34;2042-04-27T12:55;667.0;;;
;;Краснодар;Адлер;2038-12-27T07:50;2038-12-27T17:30;543.0;33_5;801.0;5486626050634416_
;;;;2019-06-29T22:02;2019-06-30T16:05;497.0;7_51;575.0;5486226062300153_
Якушева Жанна Эльдаровна;6128_278001;;;2027-03-14T08:17;2027-03-14T14:34;36.0;5_1;1947.0;4300834451723474_
Родионов Антон Аполлонович;3879_994885;Екатеринбург;Ростов-на-Дону;2079-06-21T11:18;2079-06-23T06:36;319.0;6_27;629.0;4817501080373761_
Ромашкина Юнона Сергеевна;;;;2014-07-02T18:31;2014-07-02T20:02;;;581.0;5469848214631413_
Петрова Татьяна Григорьевна;;;;2016-01-20T10:30;2016-01-20T14:34;;;1436.0;5200263517618538_
Афанасьев Архип Анатольевич;;;;;;525.0;3_55;538.0;5469510212188242_
;;Саратов;Уфа;;;194.0;4_39;553.0;5500735788613201_
;;Санкт-Петербург;Челябинск;;;663.0;31_18;1882.0;5486473005714265_
Седов Тигран Казимирович;8299_571551;Нижний Новгород;;;;52.0;18_9;532.0;2200028225174857_
Семенов Мирон Власович;8371_634730;Екатеринбург;;;;;;1927.0;4276423003205626_
Мишин Василий Романович;4550_341710;Воронеж;;;;;;670.0;5400821788532327_
Емельянова Эвелина Эльдаровна;2918_361950;Москва;;;;;;1252.0;4100425744502826_
Котова Ульяна Владиславовна;5513_802623;Керчь;;;2029-03-15T19:00;315.0;28_15;788.0;2204577610032411_
Карпов Наум Вячеславович;3557_235444;Санкт-Петербург;;;;225.0;4_1;3545.0;5400682827330467_
Филиппов Прохор Еремеевич;7340_215393;Москва (Курский);;;;90.0;1_15;510.0;4100206011481506_
Кондратьева Ирина Захаровна;2741_401788;Сочи;Самара;2039-02-06T06:05;2039-02-07T08:35;486.0;;;4567443248708620_
;;;Нижний Новгород;2074-09-24T14:16;2074-09-29T04:56;340.0;;;4300165448765837_
;;;Ивдель;2016-11-07T19:55;2016-11-08T03:55;614.0;;;4817742803548380_
;;;Воронеж;2015-09-22T04:15;2015-09-23T05:55;280.0;;;5486250761343410_
Волкова Регина Федоровна;6439_627763;Уфа;Волгоград;2031-09-03T23:50;2031-09-05T04:50;451.0;;;5469818448454714_
Семенов Фёдор Кириллович;8551_474819;Ярославль;Вологда;2051-11-01T12:35;2051-11-01T21:15;478.0;3_37;;
Соколова Татьяна Вячеславовна;8031_077458;Астрахань;Волгоград;2029-12-07T13:20;;;17_17;;
Яковлев Марк Григорьевич;2609_010233;;;2014-12-20T04:23;;;;;
Котова Юлия Сергеевна;1430_943995;;;2058-05-01T10:25;;;;;
;;;;;;;26_2;713.0;4300707885260367_
;;;;;2014-08-30T23:54;229.0;5_53;620.0;4567336443147604_
;;;Санкт-Петербург;;;756.0;6_38;1475.0;2202467476156402_
Орлов Сергей Иванович;7940_987672;Керчь;Ростов-на-Дону;;;494.0;28_11;824.0;5486155365282334_
Назаров Фёдор Фёдорович;7237_327993;Вологда;Адлер;2028-09-08T00:20;;;21_3;1800.0;5486438356732716_
Комаров Роман Архипович;0598_949283;Уфа;Ростов-на-Дону;2034-01-13T05:47;;;3_1;9977.0;2202653722276134_
Смирнова Валерия Наумовна;0742_876394;Москва;Ростов-на-Дону;2025-08-20T03:20;2025-08-20T22:35;279.0;5_1;4935.0;4276534770382605_
Харитонова Ирина Тимофеевна;4507_969969;Москва;Мичуринск;2032-01-26T08:00;2032-01-26T17:36;207.0;17_5;603.0;5469181154475211_
Козлова Антонина Евгеньевна;7225_789155;Ростов-на-Дону;Санкт-Петербург;2021-09-12T20:44;2021-09-13T14:20;154.0;12_3;563.0;5500285233437816_
Яковлева Эвелина Елистратовна;4636_898301;Пермь;Новосибирск;2062-07-24T09:41;2062-07-26T19:25;75.0;15_16;2232.0;4817318774450054_
Некрасова Юнона Никитична;9220_960101;Армавир;Кисловодск;2048-03-18T00:54;2048-03-18T14:56;49.0;14_36;651.0;4567610487277463_
;;Пермь;Екатеринбург;2028-10-02T13:40;2028-10-02T18:40;45.0;28_9;650.0;5334241714212463_
;;Калуга;Москва;2018-12-08T01:23;;;3_1;907.0;5486633040000855_
;;Москва (Восточный);Астрахань;;;;28_2;1200.0;4300870475200657_
;;Самара;Саратов;;;;;683.0;4100831831101112_
;;Казань;Санкт-Петербург;2016-04-03T07:15;;;;617.0;2200414687218714_
Зимина Елена Эрнестовна;7003_406965;Уфа;Челябинск;2014-11-20T14:20;;;;546.0;2202311406432332_
;;;Саратов;2077-07-25T18:40;2077-07-26T06:55;312.0;8_24;551.0;4567871362300503_
;;;Батайск;2013-05-23T21:36;2013-05-23T22:57;772.0;5_3;564.0;2207703727722401_
;;;Калининград;;;379.0;;;5100377622245234_
Шмелёва Эвелина Альбертовна;1646_958906;;;;;480.0;;;2207310837241773_
;;;;;;390.0;;;2207572282454724_
;;;;;;762.0;;;4000370616614886_
;;;;;;;;;5500453555244843_
;;;;;2023-12-11T12:25;;;;2204234371173143_
Кузнецова Алина Аполлоновна;;;;;2015-01-25T12:45;;;;4100013281686034_
Зимина Полина Тарасовна;;;;2043-08-16T04:40;2043-08-18T19:10;540.0;15_9;2375.0;5486460778504650_
Елисеева Милана Давидовна;;;;2095-01-28T11:15;2095-01-29T01:24;442.0;1_5;525.0;5100658616583662_
Яшина Наталья Эмильевна;9073_886797;Вологда;Тихвин;2025-06-04T17:35;2025-06-05T02:57;310.0;5_25;539.0;4276178828083401_
Петров Ярослав Ефимович;4056_366849;Воронеж;Ростов-на-Дону;2024-08-31T17:38;2024-09-01T00:49;35.0;1_6;607.0;5500053016883082_
Филиппов Давид Владленович;3941_421775;Туапсе;Лиски;2020-12-29T21:12;2020-12-30T06:24;162.0;31_5;787.0;5500725616774625_
Егоров Кристофер Геннадьевич;6979_706012;Воронеж;Симферополь;2018-12-23T04:23;2018-12-23T21:50;;;;2202285665630023_
Николаев Иван Андреевич;9031_841803;Новосибирск;Москва;2054-06-05T20:00;;;;;4000166366422826_
Михайлов Иван Андреевич;6478_699558;Москва;Санкт-Петербург;2031-12-01T14:55;;;;;2200603552001717_
;;;Саратов;2059-10-09T02:11;;;;;
;;;;2024-05-21T09:00;;;;;
;;;;2076-01-26T02:38;;;;;
;;Краснодар;Новороссийск;;;;;546.0;4817143342832753_
;;;;;;;;;5100577006856322_
;;;;;;;;;4100421408832441_
;;;;;;;;;4300554085400485_
Котова Пелагея Богдановна;4055_832337;Ростов-на-Дону;Волгоград;;;;28_2;775.0;4000246272507625_
