Полное ФИО;Серия Номер;Пункт Отправления;Пункт Назначения;Время Отправления;Время Прибытия;Номер Поезда;Вагон-Место;Цена;Карта;cluster
Сергеев Артём Борисович;7060_059060;Воронеж;Москва;2045-09-21T09:15;2045-09-22T03:45;678.0;18_7;1110.0;5469627333232828_;10.0
Фёдорова Глафира Валентиновна;3199_441200;Пенза;Арзамас;2030-08-03T23:18;2030-08-04T17:20;462.0;9_39;564.0;4000375632541273_;9.0
Богданов Андрей Наумович;9597_558392;Екатеринбург;Камышин;2060-01-23T15:50;2060-01-24T20:50;107.0;3_1;7181.0;4100011447448262_;3.0
Афанасьев Казимир Кузьмич;0968_592669;Москва (Курский);Санкт-Петербург;2017-04-06T08:17;2017-04-06T14:34;36.0;4_1;1947.0;5469256502186437_;3.0
Карпов Геннадий Тимофеевич;3635_227264;Самара;Адлер;2042-06-04T05:50;2042-06-05T20:30;305.0;13_76;639.0;4100634030586873_;1.0
Киселев Всеволод Евгеньевич;6762_158546;Новосибирск;Ростов-на-Дону;2021-07-16T08:56;2021-07-19T09:06;235.0;5_1;17127.0;4300471052654430_;3.0
Попова Лиана Лукинична;5633_806208;Самара;Уфа;2033-01-07T17:06;2033-01-08T07:23;504.0;15_9;928.0;5100664223668568_;2.0
Никитина Юнона Филипповна;8771_637978;Нижний Новгород;Москва;2017-08-30T06:40;2017-08-30T12:44;10.0;21_27;565.0;5486218348755203_;3.0
Королев Серафим Филиппович;5326_252082;Хельсинки;Коувола;2014-01-13T11:30;2014-01-13T12:31;724.0;2_3;533.0;5486604761648264_;6.0
Соколовский Виталий Ильич;5099_827524;Тюмень;Москва;2056-08-09T01:40;2056-08-09T21:40;64.0;25_7;1124.0;5100470811842238_;3.0
Гуляева Лидия Игоревна;0564_368035;Красноярск;Екатеринбург;2078-06-23T08:22;2078-06-24T14:06;211.0;1_35;946.0;2200882617482830_;5.0
Михайлов Кузьма Богданович;5946_870079;Воронеж;Староминская;2034-03-16T06:38;2034-03-16T18:16;541.0;30_5;883.0;4000011726116862_;10.0
Морозов Валентин Лукич;2300_603967;Пятигорск;Кисловодск;2022-12-19T08:20;2022-12-19T16:30;445.0;17_19;588.0;2202720481225288_;9.0
Богданов Николай Аполлонович;1731_291915;Сочи;Ростов-на-Дону;2061-08-17T10:51;2061-08-17T22:27;630.0;2_12;548.0;4817552253740221_;7.0
Макарова Фёкла Андреевна;3896_448856;Москва;Санкт-Петербург;2035-04-06T09:35;2035-04-06T19:35;438.0;5_1;2804.0;4817366042464575_;5.0
Иванов Илья Максимович;9712_964524;Димитровград;Ульяновск;2013-03-15T04:35;2013-03-15T07:16;33.0;1_11;504.0;4300444562382455_;3.0
Янчук Ульяна Руслановна;0734_453166;Краснодар;Рязань;2014-03-11T02:25;2014-03-11T15:25;234.0;19_3;890.0;5200037675527803_;5.0
Назарова Юнона Руслановна;6293_038450;Тюмень;Тобольск;2026-11-26T14:24;2026-11-27T00:36;623.0;32_5;818.0;5469164137504165_;9.0
Емельянова Валерия Елисеевна;6136_245220;Нижний Новгород;Москва;2028-05-10T04:52;2028-05-10T16:05;403.0;27_6;836.0;2200326004736237_;1.0
Беляев Эмиль Еремеевич;1362_647811;Саратов;Краснодар;2022-07-06T19:30;2022-07-07T12:30;261.0;6_6;551.0;2202232128211467_;1.0
Харитонова Жанна Дамировна;1177_874081;Ростов-на-Дону;Анапа;2027-01-16T01:50;2027-01-16T22:58;559.0;5_13;563.0;4276266653104468_;8.0
Кузнецов Сергей Леонидович;6965_879198;Керчь;Симферополь;2024-08-12T07:12;2024-08-12T17:29;505.0;29_7;839.0;2200583847354011_;10.0
Борисов Егор Алексеевич;0804_875534;Армавир;Воронеж;2013-01-00T12:00;2020-08-08T14:45;468.0;20_17;913.0;5486106337105555_;2.0
Калашников Николай Станиславович;6495_087477;Краснодар;Воронеж;2013-01-00T12:00;2020-08-08T14:45;468.0;3_43;534.0;5200770283156517_;8.0
Мальцев Роберт Аполлонович;6686_088287;Новосибирск;Иркутск;2013-01-00T12:00;2020-08-08T14:45;468.0;1_24;933.0;5500820721800862_;2.0
Некрасов Всеволод Михайлович;1026_341683;Сафоново;Вязьма;2015-10-06T12:06;2015-10-06T13:27;722.0;1_5;544.0;5486301001254648_;6.0
Лазарев Макар Елистратович;7348_207553;Новороссийск;Уфа;2035-07-27T00:20;2035-07-28T18:48;246.0;5_6;627.0;4000402370843046_;1.0
Суханов Всеволод Геннадьевич;6499_834510;Аральск;Москва;2079-07-15T00:00;2079-07-17T01:30;304.0;6_24;707.0;4300443350003671_;1.0
Орлов Емельян Игоревич;8245_657358;Минск;Москва;2034-02-12T12:09;2034-02-12T21:45;380.0;2_15;517.0;4000280777042537_;10.0
Баранов Прохор Адамович;3848_013813;Адлер;Москва;2056-07-02T17:15;2056-07-04T03:55;478.0;1_10;1020.0;4000003838537078_;1.0
Сафронова Кира Ефимовна;0417_479269;Ивдель;Приобье;2017-06-03T10:40;2017-06-03T18:40;613.0;4_1;2343.0;2202146067547732_;5.0
Бурова Ульяна Глебовна;6309_390094;Самара;Сочи;2080-12-14T10:10;2080-12-15T23:10;521.0;7_5;655.0;5469501247018651_;9.0
Васильева Елена Петровна;9827_950763;Смоленск;Москва;2022-02-19T15:55;2022-02-19T23:15;764.0;11_12;2764.0;5334727840517532_;5.0
Баранова Эвелина Тимуровна;7810_828264;Струги Красные;Псков;2015-07-12T18:52;2015-07-12T20:33;603.0;21_9;550.0;5400548742003688_;7.0
Котова Юлия Наумовна;9596_433290;Киров;Омск;2015-01-04T15:10;2015-01-05T08:00;197.0;1_6;530.0;4276641080784764_;4.0
Смирнова Жанна Георгиевна;3252_877471;Новосибирск;Красноярск;2057-06-14T04:06;2057-06-14T17:57;256.0;9_15;649.0;2204540503037087_;1.0
Карпова Яна Платоновна;1976_171960;Омск;Новосибирск;2061-04-21T18:41;2061-04-22T07:05;27.0;1_14;522.0;5400486561536628_;3.0
Родионов Емельян Матвеевич;9077_138110;Уфа;Саратов;2024-07-25T14:10;2024-07-26T08:52;667.0;23_6;1038.0;2200084734750545_;10.0
Лебедева Лариса Кузьминична;7276_100512;Саратов;Краснодар;2019-03-13T22:30;2019-03-14T22:36;699.0;9_34;760.0;5500805878513324_;8.0
Журавлев Роберт Анатольевич;1862_385715;Киров;Кострома;2015-11-02T21:05;2015-11-03T02:27;402.0;7_23;522.0;5486231677714628_;9.0
Никитина Таисия Андреевна;3689_704335;Туапсе;Ростов-на-Дону;2018-05-07T03:47;2018-05-07T10:49;696.0;24_3;702.0;5400771720311327_;8.0
Борисов Василий Эльдарович;2979_749164;Чудово;Великий Новгород;2014-02-04T16:01;2014-02-04T17:02;737.0;7_33;527.0;4300220627741352_;6.0
Коновалов Савелий Оскарович;5248_065913;Дзержинск;Владимир;2015-04-25T19:36;2015-04-25T20:57;740.0;8_48;524.0;2202121880047688_;6.0
Мельникова Вероника Дмитриевна;9980_575826;Волгоград;Москва;2052-09-06T01:35;2052-09-07T02:05;392.0;24_2;1264.0;4300817740421488_;4.0
Мишин Георгий Станиславович;3991_996603;Ростов-на-Дону;Москва;2025-01-22T09:03;2025-01-22T20:15;424.0;4_46;533.0;4276367513617817_;9.0
Медведева Капитолина Денисовна;9174_552256;Волгоград;Саратов;2032-02-17T20:00;2032-02-18T05:15;482.0;29_5;788.0;4276552548574176_;10.0
Волкова Юнона Степановна;0591_004435;Ростов-на-Дону;Керчь;2022-01-25T10:43;2022-01-25T16:04;183.0;13_33;519.0;4300816242083113_;4.0
Самойлова Ксения Руслановна;2799_653015;Тихвин;Санкт-Петербург;2022-09-09T18:15;2022-09-09T22:15;684.0;24_8;620.0;4276167468278602_;7.0
Орлова Надежда Лаврентьевна;1706_492514;Воронеж;Москва;2031-09-16T05:15;2031-09-16T11:00;156.0;17_1;672.0;2200388254355163_;5.0
Шилов Роман Игнатьевич;4358_684240;Москва;Санкт-Петербург;2022-12-25T11:18;2022-12-26T02:26;378.0;8_9;563.0;5200113644651088_;10.0
Гаврилова Екатерина Максимовна;8663_689891;Ростов-на-Дону;Староминская;2013-04-06T08:30;2013-04-06T11:33;600.0;2_10;505.0;2202024764072243_;7.0
Колесникова Регина Захаровна;4750_188590;Арзамас;Канаш;2014-03-06T18:30;2014-03-06T21:55;25.0;22_8;598.0;2200656660358026_;3.0
Жуков Марк Емельянович;3431_006462;Самара;Волгоград;2044-11-22T04:57;2044-11-22T19:06;441.0;16_2;924.0;2202455081347275_;1.0
Трофимов Виктор Аркадьевич;4159_988897;Саратов;Сочи;2035-07-09T19:15;2035-07-10T18:00;485.0;1_49;841.0;5486076057882133_;2.0
Королев Виталий Иванович;7646_709331;Рузаевка;Москва;2014-11-11T23:45;2014-11-12T09:30;94.0;3_1;2746.0;5500643020585531_;3.0
Ефремова Моника Марковна;1310_166417;Уфа;Екатеринбург;2061-04-03T06:45;2061-04-03T18:45;506.0;32_7;896.0;5486375705283580_;2.0
Волкова Анастасия Павловна;1859_992787;Псков;Луга;2014-04-26T17:45;2014-04-26T19:47;728.0;4_7;554.0;5400674604854134_;6.0
Морозов Авраам Еремеевич;4752_912470;Ростов-на-Дону;Краснодар;2044-11-30T12:00;2044-11-30T23:00;323.0;3_3;533.0;2207634055333710_;10.0
Ефремов Ростислав Эльдарович;8996_480340;Абакан;Шира;2020-08-08T10:45;2020-08-08T14:45;616.0;4_8;516.0;2200556786784780_;7.0
Никитина Ангелина Игоревна;9213_247341;Краснодар;Москва;2021-03-31T17:45;2021-04-01T11:00;156.0;17_5;996.0;5486552555526070_;5.0
Назарова Алевтина Денисовна;0541_394074;Микунь;Котлас;2018-07-19T22:15;2018-07-20T07:03;98.0;1_41;632.0;5469618172117541_;5.0
Полякова Пелагея Александровна;1233_665899;Москва;Агрыз;2022-08-17T21:45;2022-08-18T17:45;415.0;17_1;1100.0;5400184766837354_;1.0
Игнатов Давид Богданович;8215_368372;Вышний Волочёк;Тверь;2019-08-27T23:30;2019-08-28T05:30;8.0;30_13;680.0;4276265550703244_;3.0
Мишина Варвара Ильинична;5111_473654;Краснодар;Ростов-на-Дону;2024-06-24T00:21;2024-06-24T13:22;210.0;19_2;874.0;2202211637314876_;5.0
Климов Анатолий Семёнович;9916_962861;Москва;Ярославль;2029-10-10T06:23;2029-10-10T16:40;558.0;17_5;808.0;2202785463847232_;10.0
Савельев Анатолий Маркович;6550_647857;Ростов-на-Дону;Краснодар;2023-12-12T04:03;2023-12-12T10:04;497.0;4_1;1886.0;5334146075870138_;5.0
Макарова Наталья Артемовна;4217_752009;Москва;Обнинск;2013-10-08T13:00;2013-10-08T14:01;767.0;5_48;539.0;2207846517615137_;6.0
Давыдов Лаврентий Артурович;3052_728514;Краснодар;Крымская;2014-03-18T00:48;2014-03-18T05:24;155.0;18_3;651.0;2202015336383353_;5.0
Захарова Фаина Георгиевна;0283_771117;Липецк;Мичуринск;2023-09-14T20:00;2023-09-15T02:30;346.0;2_14;511.0;5469315518733584_;10.0
Захарова Регина Игнатьевна;8261_593485;Староминская;Ейск;2018-03-04T12:54;2018-03-04T18:30;515.0;9_24;560.0;4276211672316057_;8.0
Дмитриев Владислав Казимирович;7338_913604;Уфа;Екатеринбург;2062-10-01T05:39;2062-10-01T16:30;546.0;4_1;2999.0;4817204177018807_;5.0
Васильева Ника Игнатьевна;1192_221647;Самара;Нижневартовск;2058-05-28T00:40;2058-05-29T05:40;108.0;3_17;621.0;2202631687342641_;5.0
Некрасова Арина Арсеньевна;3723_732963;Воронеж;Ростов-на-Дону;2014-04-09T01:07;2014-04-09T05:43;213.0;10_49;516.0;4000634562747142_;1.0
Шилов Захар Елистратович;4540_685514;Ростов-на-Дону;Москва;2039-10-26T12:00;2039-10-27T03:00;268.0;2_51;725.0;2204015334530451_;4.0
Харитонова Ева Константиновна;5319_424232;Сызрань;Самара;2019-11-22T11:58;2019-11-22T15:59;147.0;5_23;512.0;2200337526427342_;5.0
Абрамова Алевтина Владленовна;6566_755398;Рязань;Назрань;2028-02-23T18:17;2028-02-25T01:59;307.0;21_3;1489.0;4100886627554772_;5.0
Коновалова Ядвига Прокофьевна;6040_879158;Волгоград;Астрахань;2019-06-15T17:34;2019-06-16T04:11;71.0;25_18;805.0;2204133474323767_;3.0
Якушева София Тиграновна;8113_999263;Казань;Владимир;2017-08-30T13:30;2017-08-30T18:48;744.0;2_5;674.0;5400325302020815_;7.0
Климов Максим Вячеславович;9772_751024;Владимир;Нижний Новгород;2014-09-05T00:10;2014-09-05T08:30;755.0;1_2;1000.0;5400650812011051_;9.0
Климов Марк Лукич;9394_369274;Самара;Ижевск;2038-06-17T08:35;2038-06-18T02:15;486.0;1_9;531.0;5486217124846406_;8.0
Егоров Станислав Евграфович;6004_817500;Рузаевка;Сызрань;2020-05-31T07:57;2020-05-31T11:58;147.0;6_29;512.0;2204448756410184_;5.0
Янчук Белла Климентовна;0392_357635;Тверь;Санкт-Петербург;2016-06-22T22:21;2016-06-23T01:03;777.0;11_9;2597.0;4567476200045827_;5.0
Фёдорова Римма Артемовна;9431_605494;Тула;Орёл;2014-03-21T11:31;2014-03-21T13:02;761.0;1_2;591.0;5200884451887062_;6.0
Герасимов Пантелей Маркович;5407_353353;Москва;Без остановок;2015-05-29T11:10;2015-05-29T12:41;705.0;8_6;540.0;5200673115033516_;6.0
Осипов Мирон Пантелеевич;3943_383338;Москва;Ростов-на-Дону;2040-06-06T13:00;2040-06-07T04:51;307.0;18_13;956.0;2204315878582163_;4.0
Королев Елисей Савельевич;1909_362443;Ростов-на-Дону;Москва;2041-07-02T13:33;2041-07-03T05:06;240.0;12_18;555.0;2207034787483666_;1.0
Некрасова Антонина Данииловна;3599_488261;Анапа;Москва;2032-08-19T09:45;2032-08-20T11:45;298.0;5_42;578.0;4000838858651823_;2.0
Зайцев Ярослав Фёдорович;7149_138986;Москва;Бишкек;2035-04-16T23:40;2035-04-19T23:40;55.0;3_1;17088.0;4300755131006434_;3.0
Мельникова Евгения Кузьминична;9117_688767;Санкт-Петербург;Рязань;2018-06-06T08:00;2018-06-06T19:38;119.0;10_61;541.0;5500436621707820_;5.0
Маслов Эльдар Денисович;5399_123287;Арзамас;Нижний Новгород;2045-11-10T02:10;2045-11-10T12:10;502.0;24_1;812.0;5469886083382476_;10.0
Комарова Жанна Павловна;3798_446529;Москва;Санкт-Петербург;2038-07-04T13:00;2038-07-04T22:00;406.0;26_5;780.0;5334683026506455_;2.0
Коновалова Кира Эрнестовна;3995_492677;Ростов-на-Дону;Севастополь;2030-05-30T15:44;2030-05-31T04:10;253.0;35_8;887.0;4276114663888801_;5.0
Куликов Руслан Власович;5904_444489;Сочи;Адлер;2059-11-09T11:05;2059-11-09T20:06;585.0;2_18;635.0;5100304730100640_;8.0
Савельев Анатолий Евграфович;2934_437363;Рузаевка;Рязань;2015-02-10T16:45;2015-02-10T23:00;742.0;15_9;612.0;2202480563448218_;7.0
Жданова Фаина Елистратовна;3739_903874;Москва;Белгород;2019-02-09T22:00;2019-02-10T07:08;687.0;8_42;532.0;4100376652286061_;6.0
Журавлев Влас Игоревич;1538_239372;Сочи;Краснодар;2030-08-04T13:51;2030-08-04T23:03;264.0;25_5;764.0;4000176105783288_;4.0
Колесникова Кира Станиславовна;8259_801557;Кемерово;Новокузнецк;2033-07-16T01:55;2033-07-16T12:36;117.0;24_8;852.0;5486083138781533_;3.0
Давыдов Савелий Евгеньевич;5794_122437;Джанкой;Керчь;2016-09-25T19:17;2016-09-25T23:49;266.0;5_1;1544.0;4000485438355526_;5.0
Кравцов Виталий Тимофеевич;9429_466765;Ростов-на-Дону;Адлер;2036-02-06T05:10;2036-02-06T22:30;453.0;19_8;1020.0;2200655172685615_;1.0
Харитонова Арина Кристоферовна;8837_208166;Самара;Иркутск;2016-02-17T14:36;2016-02-20T02:04;212.0;25_12;2212.0;2200717586616217_;3.0
Медведева Роза Евгеньевна;3768_794479;Сызрань;Самара;2018-12-25T11:58;2018-12-25T15:59;147.0;8_32;543.0;5400133127775281_;5.0
Некрасова Кира Юрьевна;0453_524539;Балашов;Рязань;2020-11-08T18:30;2020-11-09T07:00;610.0;21_9;875.0;2207718656056034_;10.0
Тихомирова Наталья Кристоферовна;6066_842829;Барнаул;Бийск;2019-01-15T14:34;2019-01-15T18:38;617.0;16_17;617.0;4276728485742435_;8.0
Алексеев Евгений Максимович;4795_859587;Москва;Ростов-на-Дону;2025-09-10T07:00;2025-09-11T08:15;659.0;30_3;1257.0;2204306565371642_;2.0
Сергеева Полина Емельяновна;5219_502495;Новороссийск;Крымская;2015-12-21T03:00;2015-12-21T11:37;216.0;5_18;525.0;5500413008884383_;1.0
Ефимов Юрий Никитич;4821_002973;Армавир;Ростов-на-Дону;2029-10-08T17:25;2029-10-08T22:15;100.0;4_1;1613.0;4300271377618610_;3.0
Ушаков Пётр Эрнестович;5204_218602;Воронеж;Краснодар;2016-08-10T09:45;2016-08-10T19:45;283.0;1_9;518.0;4300270516130216_;2.0
Козлов Евгений Лукич;3033_165022;Староминская;Рязань;2024-04-27T02:16;2024-04-27T20:19;542.0;2_9;770.0;4567278685482575_;10.0
Захаров Илья Константинович;2624_483646;Москва;Староминская;2023-12-19T22:15;2023-12-20T13:37;151.0;17_18;961.0;2202413831350412_;5.0
Трофимов Константин Германович;3216_693950;Мин. Воды;Рязань;2020-03-18T09:30;2020-03-19T05:00;374.0;23_3;1061.0;2207402406245110_;4.0
Андреев Егор Тимофеевич;0748_429466;Волгоград;Астрахань;2034-05-12T03:45;2034-05-12T08:45;79.0;28_10;644.0;2202350402572047_;3.0
Журавлев Еремей Степанович;6689_916421;Краснодар;Крымская;2013-05-27T10:03;2013-05-27T13:06;647.0;11_30;532.0;4100756157786053_;7.0
Воробьёва Инна Оскаровна;2381_098354;Казань;Санкт-Петербург;2026-02-19T08:50;2026-02-20T10:05;146.0;2_17;878.0;2204266462630026_;5.0
Пономарёва Клавдия Робертовна;8027_713532;Дзержинск;Нижний Новгород;2013-03-12T18:38;2013-03-12T20:09;51.0;19_15;516.0;4000844015744566_;3.0
Макарова Александра Валентиновна;1662_737086;Самара;Анапа;2016-12-18T21:00;2016-12-21T02:00;517.0;4_36;659.0;5400117235365410_;9.0
Карпова Моника Петровна;9655_624925;Самара;Екатеринбург;2079-11-17T00:30;2079-11-17T21:20;342.0;27_8;1187.0;2200520360831024_;5.0
Титова Галина Станиславовна;5417_540849;Печора;Воркута;2023-07-26T06:30;2023-07-27T02:30;41.0;1_53;584.0;4276037735755682_;3.0
Лобанова Ева Платоновна;3547_383142;Самара;Новосибирск;2024-08-11T17:15;2024-08-13T19:15;388.0;31_14;1940.0;2207417434773134_;5.0
Мельникова Дария Ильинична;6298_210074;Череповец;Тихвин;2019-07-07T14:15;2019-07-07T18:15;684.0;35_4;624.0;5486322817060222_;7.0
Краснов Марк Робертович;9268_119827;Канаш;Казань;2017-10-19T12:33;2017-10-19T14:04;715.0;3_36;540.0;5334577723488480_;6.0
Алексеев Еремей Дмитриевич;5946_418973;Калуга;Сухиничи;2018-07-23T21:12;2018-07-23T23:14;187.0;5_9;508.0;2204560223126135_;4.0
Лебедев Наум Дамирович;5595_338609;Краснодар;Самара;2026-08-15T19:16;2026-08-16T22:19;382.0;30_8;1392.0;4567573684856585_;5.0
Трофимов Роберт Робертович;3602_339743;Кандалакша;Мурманск;2018-02-06T08:15;2018-02-06T17:15;21.0;4_1;2573.0;4276583424520012_;3.0
Леонова Аглая Наумовна;5398_958131;Красноярск;Иркутск;2045-01-05T19:03;2045-01-06T07:56;81.0;25_4;901.0;5500255346617472_;3.0
Козлов Тигран Пантелеевич;5965_318348;Москва;Севастополь;2054-12-08T09:39;2054-12-09T23:15;289.0;2_9;1064.0;4567640160425718_;5.0
Яковлев Прохор Кристоферович;1011_543207;Туапсе;Москва;2032-09-24T22:08;2032-09-25T15:58;300.0;29_5;1035.0;5400328604874387_;5.0
Соболева Инна Макаровна;3454_239588;Ростов-на-Дону;Краснодар;2059-04-14T23:21;2059-04-15T09:33;459.0;26_12;793.0;5500735118340625_;10.0
Афанасьев Ефим Ефимович;9805_063802;Ярославль;Печора;2029-09-22T06:49;2029-09-23T06:16;443.0;27_11;1175.0;2202102422154261_;1.0
Тарасова Дария Климентовна;0873_444193;Красноярск;Москва;2060-07-13T22:46;2060-07-16T11:18;378.0;26_13;2316.0;2207630313800824_;5.0
Афанасьева Мария Еремеевна;6898_759791;Обозерская;Санкт-Петербург;2016-04-24T02:15;2016-04-24T22:30;356.0;4_1;5165.0;4300737530780878_;3.0
Тарасов Герман Игоревич;5507_349067;Волгоград;Казань;2055-04-27T02:00;2055-04-27T21:40;552.0;34_5;1113.0;2200245058271277_;2.0
Кудрявцева Радмила Артуровна;4386_558753;Ростов-на-Дону;Москва;2041-03-06T17:35;2041-03-07T09:35;244.0;16_14;980.0;4000870820023610_;5.0
